epoch,phase,t_loss,t_acc,v_loss,v_acc
0,1,1.7633389379417699,0.31282872966665504,1.6507913662085927,0.37475619949846756
1,1,1.691201466785553,0.3404855620188791,1.638469086878477,0.3598495402619114
2,1,1.667762044874693,0.3486363161377965,1.63070419639158,0.36792978545555866
3,1,1.6532952466011546,0.35093524678672194,1.610263136476818,0.38005015324602953
4,1,1.6556940181796223,0.3578668710160577,1.605099631604726,0.38562273613820003
5,2,1.5777033052290323,0.39468459368142395,1.4915873380416813,0.42908888269713014
6,2,1.510582427996952,0.4242223692918597,1.4556334030830818,0.4402340484814712
7,2,1.4476069197426678,0.4506252394719426,1.4064194239939645,0.46336026748397885
8,2,1.402468305146658,0.46894702009822703,1.3665450343052037,0.47506269155753694
9,2,1.370944730382366,0.4816608032324358,1.3331725202785225,0.48857620507105043
10,2,1.327987930581107,0.4931206241945035,1.2955207488569385,0.505293953747562
11,2,1.2893398535480411,0.5116862307987042,1.2659424051131734,0.511145165784341
12,2,1.27034651401827,0.5147514716639381,1.2522974727827383,0.5178322652549456
13,2,1.24433491961984,0.5294158626214776,1.2391813985233222,0.5224296461409863
14,2,1.212876182368334,0.53390922707165,1.2180685021645448,0.5300919476177208
15,2,1.1875705916146848,0.5417464906475321,1.1957250669262276,0.5416550571189747
16,2,1.1713320032972008,0.5490961022675815,1.1725166744178104,0.5483421565895793
17,2,1.1554172372464215,0.5542164478038246,1.155594597066402,0.558233491223182
18,2,1.129316163269005,0.5606255877947682,1.1403138948270757,0.564084703259961
19,2,1.1083555918360393,0.5715977568010032,1.12869254947456,0.5713290610197826
